alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          N2H3          NH2CO         HS4           C4H3          CH2N2         CH2CN         CH3CN         HCCCN         O1D           N2D           H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  9.98067E-001  2.52298E+019  2.86525E+002  1.00000E+005  8.00137E-004  1.00000E-040  1.00000E-040  1.37847E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.08233E-034  1.00000E-040  1.00000E-040  8.12488E-022  5.31027E-007  7.71850E-003  1.49684E-014  3.80070E-017  2.10407E-001  1.10213E-007  3.60697E-004  1.61254E-023  3.26569E-011  1.00000E-040  1.00000E-040  7.58900E-034  3.52504E-020  2.28812E-006  2.60142E-029  2.01048E-026  6.63478E-039  6.16392E-038  4.39561E-037  2.33959E-012  3.04908E-018  9.43557E-020  1.84044E-011  1.00000E-040  1.00000E-040  5.29170E-010  1.00000E-040  3.75125E-017  1.73930E-038  7.81511E-001  3.89288E-030  2.70237E-028  3.11568E-022  1.00000E-040  1.00000E-040  2.07094E-029  7.38538E-025  1.18724E-016  1.77589E-017  8.44600E-012  1.81676E-021  3.10600E-007  8.43717E-010  1.64650E-008  1.16838E-013  3.57695E-015  3.38330E-020  8.08855E-015  4.27555E-012  3.33923E-012  1.89587E-010  2.63564E-017  2.49630E-022  8.71204E-017  1.00000E-040  4.26644E-010  3.16514E-023  5.61816E-017  9.28494E-025  8.64295E-026  6.06158E-040  5.10467E-038  1.00000E-040  1.00000E-040  5.38773E-015  1.00000E-040  1.17951E-040  1.65889E-025  4.21770E-027  2.30909E-035  2.81976E-039  5.36840E-033  1.88195E-018  1.39904E-019  1.67821E-014  5.99101E-030  3.36971E-039  1.00000E-040  1.00497E-025  1.00000E-040  3.27624E-025  1.27748E-030  1.17603E-021  1.31264E-025  1.53641E-008  3.83877E-024  1.00000E-040  1.00903E-023  3.57159E-033  1.00000E-040  6.20432E-024  1.27999E-040  5.93833E-030  1.00000E-040  1.03684E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.83408E-001  2.28496E+019  2.80027E+002  1.00000E+005  1.04244E-003  1.00000E-040  1.00000E-040  1.54057E-027  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.65079E-035  1.00000E-040  1.00000E-040  1.04895E-021  5.33558E-007  5.78438E-003  1.88808E-014  4.96951E-017  2.10817E-001  1.07671E-007  3.61406E-004  2.30541E-023  3.77853E-011  1.00000E-040  1.00000E-040  9.95097E-034  3.87000E-020  2.28940E-006  4.46785E-029  2.00865E-026  8.38462E-039  8.00937E-038  4.40417E-037  2.83527E-012  4.16385E-018  1.88265E-019  3.82259E-011  1.00000E-040  1.00000E-040  5.29822E-010  1.00000E-040  3.78788E-017  2.88308E-038  7.83034E-001  3.94857E-030  3.03208E-028  3.12192E-022  1.00000E-040  1.00000E-040  2.01883E-029  7.18063E-025  1.95608E-016  1.87086E-017  9.28797E-012  2.03942E-021  3.11162E-007  1.01742E-009  1.82658E-008  1.61893E-013  4.36895E-015  4.13000E-020  9.97752E-015  6.12196E-012  6.85615E-012  1.85083E-010  2.42330E-017  1.40409E-022  6.46095E-017  1.00000E-040  4.36412E-010  3.17915E-023  5.34123E-017  1.10833E-024  9.70220E-026  6.07340E-040  4.98014E-038  1.00000E-040  1.00000E-040  3.80404E-015  1.00000E-040  1.35825E-040  1.57711E-025  6.90713E-027  2.82405E-035  3.71806E-039  4.31869E-033  4.07169E-018  2.09661E-019  1.80484E-014  5.34711E-030  3.37510E-039  1.00000E-040  2.07204E-025  1.00000E-040  4.82726E-025  1.22824E-030  1.17832E-021  1.56419E-025  1.49460E-008  1.04333E-023  1.00000E-040  1.02158E-023  4.32308E-033  1.00000E-040  6.28895E-024  1.25522E-040  5.93947E-030  1.00000E-040  1.45048E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.79940E-001  2.06525E+019  2.73530E+002  1.00000E+005  9.06632E-004  1.00000E-040  1.00000E-040  1.52005E-024  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.84037E-035  1.00000E-040  1.00000E-040  1.34584E-021  5.36068E-007  4.17360E-003  2.34855E-014  6.67559E-017  2.11158E-001  1.05242E-007  3.61998E-004  3.33822E-023  4.49253E-011  1.00000E-040  1.00000E-040  1.26062E-033  4.17139E-020  2.29016E-006  6.44532E-029  1.99752E-026  1.22899E-038  1.20270E-037  4.41130E-037  3.01840E-012  4.86198E-018  3.34012E-019  5.19521E-011  1.00000E-040  1.00000E-040  5.30298E-010  1.00000E-040  3.82779E-017  4.93927E-038  7.84303E-001  4.14212E-030  3.44489E-028  3.12656E-022  1.00000E-040  1.00000E-040  1.92008E-029  6.81654E-025  3.57514E-016  2.08190E-017  1.01715E-011  1.97584E-021  3.11618E-007  1.19820E-009  2.07894E-008  2.42928E-013  5.92180E-015  3.77698E-020  1.46769E-014  9.18541E-012  1.03363E-011  1.74869E-010  2.22382E-017  7.74836E-023  4.69049E-017  1.00000E-040  4.51696E-010  3.20061E-023  4.94021E-017  1.47744E-024  1.05882E-025  6.08326E-040  4.76812E-038  1.00000E-040  1.00000E-040  2.74691E-015  1.00000E-040  1.50553E-040  1.47079E-025  7.12231E-027  3.32590E-035  4.92882E-039  3.38268E-033  7.86217E-018  3.28631E-019  2.02205E-014  4.43832E-030  3.38050E-039  1.00000E-040  4.31219E-025  1.00000E-040  7.10728E-025  1.14636E-030  1.18023E-021  1.71717E-025  1.40740E-008  1.83296E-023  1.00000E-040  1.03806E-023  6.14239E-033  1.00000E-040  6.13365E-024  1.20624E-040  5.92988E-030  1.00000E-040  2.03938E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.86692E-001  1.86256E+019  2.67036E+002  1.00000E+005  8.20478E-004  1.00000E-040  1.00000E-040  1.23285E-021  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.25043E-035  1.00000E-040  1.00059E-040  1.68219E-021  5.38590E-007  2.79101E-003  2.81373E-014  9.14113E-017  2.11452E-001  1.02964E-007  3.62507E-004  4.85137E-023  5.45947E-011  1.00000E-040  1.00000E-040  1.47107E-033  4.30872E-020  2.29061E-006  8.13132E-029  1.97570E-026  1.92503E-038  1.92400E-037  4.41741E-037  2.98911E-012  5.03034E-018  5.41921E-019  6.02263E-011  1.00000E-040  1.00000E-040  5.30648E-010  1.00000E-040  3.87173E-017  8.49308E-038  7.85392E-001  4.46316E-030  3.83486E-028  3.12935E-022  1.00000E-040  1.00000E-040  1.78775E-029  6.36283E-025  6.71741E-016  2.44821E-017  1.10355E-011  1.82610E-021  3.11997E-007  1.35681E-009  2.40779E-008  3.63642E-013  8.10678E-015  3.22746E-020  2.41688E-014  1.33930E-011  1.32020E-011  1.61393E-010  1.99246E-017  4.12940E-023  3.33654E-017  1.00000E-040  4.70073E-010  3.23089E-023  4.50327E-017  2.07776E-024  1.07346E-025  6.09172E-040  4.50372E-038  1.00000E-040  1.00000E-040  2.00210E-015  1.00000E-040  1.57993E-040  1.36188E-025  5.42374E-027  3.59543E-035  6.54094E-039  2.52513E-033  1.39402E-017  5.24719E-019  2.33396E-014  3.50425E-030  3.38845E-039  1.00000E-040  8.86039E-025  1.00000E-040  1.02205E-024  1.04577E-030  1.18187E-021  1.72999E-025  1.27739E-008  2.65017E-023  1.00000E-040  1.05679E-023  9.67468E-033  1.00000E-040  5.50918E-024  1.13738E-040  5.91559E-030  1.00000E-040  2.87529E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  6.02944E-001  1.67615E+019  2.60544E+002  1.00000E+005  6.18363E-004  1.00000E-040  1.00000E-040  9.84674E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.06281E-035  1.00000E-040  1.00159E-040  2.12902E-021  5.41009E-007  1.79578E-003  3.38393E-014  1.26501E-016  2.11663E-001  1.00814E-007  3.62875E-004  7.06940E-023  6.68253E-011  1.00000E-040  1.00000E-040  1.71403E-033  4.43926E-020  2.29036E-006  9.61028E-029  1.94283E-026  3.19152E-038  3.24928E-037  4.42181E-037  2.80230E-012  4.92218E-018  8.51716E-019  6.36605E-011  1.00000E-040  1.00000E-040  5.30786E-010  1.00000E-040  3.91971E-017  1.53619E-037  7.86176E-001  4.96360E-030  4.33017E-028  3.12987E-022  1.00000E-040  1.00000E-040  1.63494E-029  5.87287E-025  1.28268E-015  3.02504E-017  1.20382E-011  1.68225E-021  3.12249E-007  1.53866E-009  2.81317E-008  5.33079E-013  1.09906E-014  2.90199E-020  4.22919E-014  1.94087E-011  1.53487E-011  1.46376E-010  1.75979E-017  2.18232E-023  2.38944E-017  1.00000E-040  4.89708E-010  3.27145E-023  4.07269E-017  3.01132E-024  1.03825E-025  6.09784E-040  4.21040E-038  1.00000E-040  1.00000E-040  1.46154E-015  1.00000E-040  1.64544E-040  1.25779E-025  3.67609E-027  3.86621E-035  8.64798E-039  1.86430E-033  2.40526E-017  8.42816E-019  2.69733E-014  2.66311E-030  3.40031E-039  1.00000E-040  1.87695E-024  1.00000E-040  1.49626E-024  9.36462E-031  1.18305E-021  1.65184E-025  1.11076E-008  3.51419E-023  1.00000E-040  1.07726E-023  1.60662E-032  1.00000E-040  4.88323E-024  1.05362E-040  5.89939E-030  1.00000E-040  4.03939E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.27856E-001  1.50490E+019  2.54053E+002  1.00000E+005  4.37544E-004  1.00000E-040  1.00000E-040  6.36434E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.41285E-035  1.00000E-040  1.00226E-040  2.74489E-021  5.43315E-007  1.12251E-003  4.11884E-014  1.75770E-016  2.11805E-001  9.87786E-008  3.63126E-004  1.02253E-022  8.12487E-011  1.00000E-040  1.00000E-040  2.02572E-033  4.59715E-020  2.28953E-006  1.08690E-028  1.89992E-026  5.49905E-038  5.69013E-037  4.42477E-037  2.49775E-012  4.64165E-018  1.31358E-018  6.29235E-011  1.00000E-040  1.00000E-040  5.30743E-010  1.00000E-040  3.97258E-017  2.93817E-037  7.86706E-001  5.67555E-030  4.97352E-028  3.12807E-022  1.00000E-040  1.00000E-040  1.47348E-029  5.38271E-025  2.48481E-015  3.89724E-017  1.31937E-011  1.56202E-021  3.12393E-007  1.74493E-009  3.29303E-008  7.55919E-013  1.46283E-014  3.10326E-020  7.67836E-014  2.75728E-011  1.61255E-011  1.31093E-010  1.54409E-017  1.15716E-023  1.73465E-017  1.00000E-040  5.09333E-010  3.32489E-023  3.66996E-017  4.45135E-024  9.81585E-026  6.10200E-040  3.90412E-038  1.00000E-040  1.00000E-040  1.06626E-015  1.00000E-040  1.72185E-040  1.16101E-025  2.47858E-027  4.19972E-035  1.13581E-038  1.36708E-033  4.09326E-017  1.34583E-018  3.07695E-014  1.96050E-030  3.41739E-039  1.00000E-040  4.14182E-024  1.00000E-040  2.25007E-024  8.25792E-031  1.18384E-021  1.53166E-025  9.16377E-009  4.41917E-023  1.00000E-040  1.09964E-023  2.74189E-032  1.00000E-040  4.34374E-024  1.00000E-040  5.88286E-030  1.00000E-040  5.63244E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.60651E-001  1.34772E+019  2.47565E+002  1.00000E+005  2.97055E-004  1.00000E-040  1.00000E-040  2.96157E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.80886E-034  1.00000E-040  1.00271E-040  3.59100E-021  5.45495E-007  6.82145E-004  5.06144E-014  2.44093E-016  2.11899E-001  9.68377E-008  3.63292E-004  1.45890E-022  9.74525E-011  1.00000E-040  1.00000E-040  2.41505E-033  4.77148E-020  2.28828E-006  1.17805E-028  1.84859E-026  9.71929E-038  1.02015E-036  4.42671E-037  2.11038E-012  4.21754E-018  1.97930E-018  5.87854E-011  1.00000E-040  1.00000E-040  5.30565E-010  1.00000E-040  4.03144E-017  5.87890E-037  7.87053E-001  6.61080E-030  5.76687E-028  3.12394E-022  1.00000E-040  1.00000E-040  1.31341E-029  4.91527E-025  4.95718E-015  5.19465E-017  1.44662E-011  1.45850E-021  3.12457E-007  1.96470E-009  3.84277E-008  1.03452E-012  1.91469E-014  4.20245E-020  1.43647E-013  3.80540E-011  1.43759E-011  1.16476E-010  1.35569E-017  6.20168E-024  1.27703E-017  1.00000E-040  5.28043E-010  3.39434E-023  3.30607E-017  6.65505E-024  9.20071E-026  6.10475E-040  3.59619E-038  1.00000E-040  1.00000E-040  7.80053E-016  1.00000E-040  1.81190E-040  1.07226E-025  1.71871E-027  4.58181E-035  1.48092E-038  9.90054E-034  6.84454E-017  2.12339E-018  3.45358E-014  1.40384E-030  3.44007E-039  1.00000E-040  9.51792E-024  1.00000E-040  3.46853E-024  7.19309E-031  1.18437E-021  1.40147E-025  7.05404E-009  5.31388E-023  1.00000E-040  1.12426E-023  4.76222E-032  1.00000E-040  3.85520E-024  1.00000E-040  5.86687E-030  1.00000E-040  7.77512E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  4.00627E-001  1.20364E+019  2.41079E+002  1.00000E+005  1.93357E-004  1.00000E-040  1.00000E-040  8.94739E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.85441E-032  1.00000E-040  1.00299E-040  4.73806E-021  5.47515E-007  4.02368E-004  6.23978E-014  3.37709E-016  2.11958E-001  9.49592E-008  3.63400E-004  2.05760E-022  1.15647E-010  1.00000E-040  1.00000E-040  2.86515E-033  4.92930E-020  2.28677E-006  1.21111E-028  1.79086E-026  1.74436E-037  1.85405E-036  4.42793E-037  1.67409E-012  3.65017E-018  2.87301E-018  5.21506E-011  1.00000E-040  1.00000E-040  5.30286E-010  1.00000E-040  4.09747E-017  1.21121E-036  7.87273E-001  7.75904E-030  6.67007E-028  3.11738E-022  1.00000E-040  1.00000E-040  1.16320E-029  4.48591E-025  1.05815E-014  7.11434E-017  1.58175E-011  1.35956E-021  3.12462E-007  2.18200E-009  4.45449E-008  1.37752E-012  2.47714E-014  6.72880E-020  2.76823E-013  5.09087E-011  8.61203E-012  1.03183E-010  1.19869E-017  3.38862E-024  9.54907E-018  1.00000E-040  5.45194E-010  3.48353E-023  2.98667E-017  9.94977E-024  8.61014E-026  6.10653E-040  3.29554E-038  1.00000E-040  1.00000E-040  5.77561E-016  1.00000E-040  1.91113E-040  9.91617E-026  1.21181E-027  4.95071E-035  1.92030E-038  7.02284E-034  1.10977E-016  3.32201E-018  3.82472E-014  9.82020E-031  3.46771E-039  1.00000E-040  2.27018E-023  1.00000E-040  5.44253E-024  6.21314E-031  1.18470E-021  1.27897E-025  4.91578E-009  6.10003E-023  1.00000E-040  1.15157E-023  8.39237E-032  1.00000E-040  3.36418E-024  1.00000E-040  5.85195E-030  1.00000E-040  1.06072E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.47150E-001  1.07181E+019  2.34594E+002  1.00000E+005  1.20355E-004  1.00000E-040  1.00000E-040  1.70681E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.68797E-030  1.00000E-040  1.00316E-040  6.26391E-021  5.49308E-007  2.30124E-004  7.64297E-014  4.64441E-016  2.11994E-001  9.30925E-008  3.63469E-004  2.89951E-022  1.37530E-010  1.00000E-040  1.00000E-040  3.31429E-033  5.01620E-020  2.28509E-006  1.15674E-028  1.72906E-026  3.14187E-037  3.37653E-036  4.42868E-037  1.22640E-012  2.94471E-018  3.92470E-018  4.41019E-011  1.00000E-040  1.00000E-040  5.29930E-010  1.00000E-040  4.17195E-017  2.51956E-036  7.87409E-001  9.06987E-030  7.57113E-028  3.10823E-022  1.00000E-040  1.00000E-040  1.03005E-029  4.10878E-025  2.61209E-014  9.95126E-017  1.72382E-011  1.25288E-021  3.12424E-007  2.37144E-009  5.11590E-008  1.81966E-012  3.16019E-014  1.14954E-019  5.49659E-013  6.60949E-011  4.35593E-012  9.16680E-011  1.07156E-017  1.90586E-024  7.28409E-018  1.00000E-040  5.60337E-010  3.59691E-023  2.71472E-017  1.45974E-023  8.07037E-026  6.10768E-040  3.01024E-038  1.00000E-040  1.00000E-040  4.39299E-016  1.00000E-040  2.00936E-040  9.19271E-026  8.37011E-028  5.18899E-035  2.48766E-038  4.83584E-034  1.70652E-016  5.24139E-018  4.20594E-014  6.76458E-031  3.49897E-039  1.00000E-040  5.58807E-023  1.00000E-040  8.56531E-024  5.35211E-031  1.18490E-021  1.17375E-025  2.92052E-009  6.64694E-023  1.00000E-040  1.18203E-023  1.49865E-031  1.00000E-040  2.82566E-024  1.00000E-040  5.83848E-030  1.00000E-040  1.42837E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.99637E-001  9.51402E+018  2.28112E+002  9.61769E+004  6.99990E-005  1.00000E-040  1.00000E-040  8.01900E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.79002E-028  1.00000E-040  1.00327E-040  8.21032E-021  5.50796E-007  1.28243E-004  9.17318E-014  6.35229E-016  2.12016E-001  9.11066E-008  3.63511E-004  4.08037E-022  1.64457E-010  1.00000E-040  1.00000E-040  3.63273E-033  4.95568E-020  2.28323E-006  9.95166E-029  1.66452E-026  5.63224E-037  6.11197E-036  4.42910E-037  8.11671E-013  2.14514E-018  4.89094E-018  3.58274E-011  1.00000E-040  1.00000E-040  5.29503E-010  1.00000E-040  4.25796E-017  5.17055E-036  7.87489E-001  1.04397E-029  8.26947E-028  3.09603E-022  1.00000E-040  1.00000E-040  9.17839E-030  3.80020E-025  8.95695E-014  1.42082E-016  1.87277E-011  1.12947E-021  3.12350E-007  2.48055E-009  5.82165E-008  2.47323E-012  3.85709E-014  1.91190E-019  1.13171E-012  8.37745E-011  2.78259E-012  8.20371E-011  9.64344E-018  1.10965E-024  5.71079E-018  1.00000E-040  5.73424E-010  3.74275E-023  2.48681E-017  2.04386E-023  7.59836E-026  6.10842E-040  2.74313E-038  1.00000E-040  1.00000E-040  3.50004E-016  1.00000E-040  2.08973E-040  8.56712E-026  5.31105E-028  5.12487E-035  3.24218E-038  3.19069E-034  2.41639E-016  8.60643E-018  4.62948E-014  4.63943E-031  3.53355E-039  1.00000E-040  1.40535E-022  1.00000E-040  1.30384E-023  4.62379E-031  1.18502E-021  1.09106E-025  1.26447E-009  6.83347E-023  1.00000E-040  1.21685E-023  2.72896E-031  1.00000E-040  2.22630E-024  1.00000E-040  5.82649E-030  1.00000E-040  1.90065E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
