Wavelength(nm)      SolarFlux(mW/m^2/nm)
1.00000000e+00      6.72824499e-03      
1.37500000e+00      5.38239851e-03      
2.12500000e+00      5.16980808e-02      
2.87500000e+00      6.61798366e-02      
3.62500000e+00      4.88276658e-02      
4.12500000e+00      6.13151726e-02      
4.37500000e+00      6.75589260e-02      
4.62500000e+00      6.75589260e-02      
4.87500000e+00      6.75589260e-02      
5.12500000e+00      1.16119990e-01      
5.37500000e+00      1.16119990e-01      
5.62500000e+00      1.16119990e-01      
5.87500000e+00      1.16119990e-01      
6.12500000e+00      1.03283596e-01      
6.37500000e+00      1.03283596e-01      
6.62500000e+00      1.03283596e-01      
6.87500000e+00      1.03283596e-01      
7.12500000e+00      1.08418154e-01      
7.37500000e+00      1.08418154e-01      
7.62500000e+00      1.08418154e-01      
7.87500000e+00      1.08418154e-01      
8.12500000e+00      6.60679296e-02      
8.37500000e+00      6.60679296e-02      
8.62500000e+00      6.60679296e-02      
8.87500000e+00      6.60679296e-02      
9.12500000e+00      7.41449833e-02      
9.37500000e+00      7.41449833e-02      
9.62500000e+00      7.41449833e-02      
9.87500000e+00      7.41449833e-02      
1.01250000e+01      2.57517800e-02      
1.03750000e+01      2.57517800e-02      
1.06250000e+01      2.57517800e-02      
1.08750000e+01      2.57517800e-02      
1.11250000e+01      1.84547841e-02      
1.13750000e+01      1.84547841e-02      
1.16250000e+01      1.84547841e-02      
1.18750000e+01      1.84547841e-02      
1.21000000e+01      1.19680487e-02      
1.23000001e+01      1.15626282e-02      
1.25000001e+01      1.15626282e-02      
1.27000002e+01      1.15626282e-02      
1.31125002e+01      1.12309519e-02      
1.37375002e+01      1.31010280e-02      
1.43625002e+01      3.54481942e-02      
1.49875002e+01      3.88779519e-02      
1.55875002e+01      4.27550643e-02      
1.61625003e+01      5.47946635e-02      
1.67375003e+01      6.68163334e-02      
1.73125004e+01      2.57715283e-01      
1.79625003e+01      1.96707347e-01      
1.86875002e+01      1.28925740e-01      
1.94125001e+01      1.32511077e-01      
2.01375000e+01      8.59908957e-02      
2.08250000e+01      6.09677914e-02      
2.14750001e+01      4.96472201e-02      
2.21250002e+01      6.35447116e-02      
2.27750003e+01      6.11112604e-02      
2.35875003e+01      3.94254218e-02      
2.45625002e+01      9.08500291e-02      
2.55375001e+01      1.42767269e-01      
2.65125000e+01      4.84721964e-02      
2.71250000e+01      6.97774624e-02      
2.73750000e+01      8.52237782e-02      
2.76250000e+01      8.52237782e-02      
2.78750000e+01      8.90332248e-02      
2.82500000e+01      1.04271011e-01      
2.87500000e+01      1.04271011e-01      
2.92500000e+01      2.98298035e-02      
2.97500000e+01      2.98298035e-02      
3.02500000e+01      6.32932938e-01      
3.07500000e+01      6.32932938e-01      
3.12500000e+01      1.22933152e-01      
3.17500000e+01      1.22933152e-01      
3.22500000e+01      1.70724033e-01      
3.27500000e+01      1.70724033e-01      
3.32500000e+01      1.67663046e-01      
3.37500000e+01      1.67663046e-01      
3.42500000e+01      7.16863202e-02      
3.47500000e+01      7.16863202e-02      
3.52500000e+01      6.16739333e-02      
3.57500000e+01      6.16739333e-02      
3.61250000e+01      7.92025223e-02      
3.63750000e+01      8.35846695e-02      
3.66250000e+01      8.35846695e-02      
3.68750000e+01      6.03178836e-02      
3.73750000e+01      1.37843117e-02      
3.81250000e+01      8.53521422e-03      
3.88750000e+01      5.89881649e-03      
3.96250000e+01      5.87511853e-03      
4.03750000e+01      9.85341308e-03      
4.11250000e+01      1.61735266e-02      
4.18750000e+01      1.44830723e-02      
4.26250000e+01      4.78205026e-03      
4.33750000e+01      1.11479140e-02      
4.41250000e+01      6.63213660e-03      
4.48750000e+01      4.54770379e-03      
4.56250000e+01      4.89461556e-03      
4.62500000e+01      1.62722681e-02      
4.67500000e+01      1.76944746e-02      
4.72500000e+01      7.02644428e-03      
4.77500000e+01      7.02644428e-03      
4.82500000e+01      1.17008663e-02      
4.87500000e+01      1.17008663e-02      
4.92500000e+01      4.16590338e-02      
4.97500000e+01      4.16590338e-02      
5.02500000e+01      1.69736618e-02      
5.07500000e+01      1.69736618e-02      
5.12500000e+01      5.81686105e-03      
5.17500000e+01      5.81686105e-03      
5.22500000e+01      1.02493664e-02      
5.27500000e+01      1.02493664e-02      
5.32500000e+01      7.55372383e-03      
5.37500000e+01      7.55372383e-03      
5.42500000e+01      4.86894277e-03      
5.47500000e+01      4.86894277e-03      
5.52500000e+01      2.18021205e-02      
5.57500000e+01      2.18021205e-02      
5.62500000e+01      6.64727697e-03      
5.67500000e+01      6.64727697e-03      
5.72500000e+01      6.62259159e-03      
5.77500000e+01      6.62259159e-03      
5.82500000e+01      3.75118913e-02      
5.87500000e+01      3.75118913e-02      
5.92500000e+01      7.82822516e-03      
5.97500000e+01      7.82822516e-03      
6.02500000e+01      3.21995992e-02      
6.07500000e+01      3.21995992e-02      
6.12500000e+01      9.79120594e-03      
6.17500000e+01      9.79120594e-03      
6.21250000e+01      3.59727089e-02      
6.23750000e+01      4.25180847e-02      
6.26250000e+01      4.25180847e-02      
6.28750000e+01      2.66404534e-02      
6.36250000e+01      8.68604184e-03      
6.48750000e+01      2.24913361e-03      
6.61250000e+01      1.80716671e-03      
6.73750000e+01      1.75364883e-03      
6.83750000e+01      5.46632877e-03      
6.91250000e+01      5.03614502e-03      
6.98750000e+01      6.93823522e-03      
7.06250000e+01      1.17897337e-02      
7.13750000e+01      5.16516723e-03      
7.21250000e+01      4.32125665e-03      
7.28750000e+01      4.29295076e-03      
7.36250000e+01      5.08024955e-03      
7.43750000e+01      6.26021033e-03      
7.51250000e+01      8.44108066e-03      
7.58750000e+01      1.43622786e-02      
7.66250000e+01      2.40238040e-02      
7.71250000e+01      2.27664957e-02      
7.73750000e+01      2.21378416e-02      
7.76250000e+01      2.21378416e-02      
7.78750000e+01      2.21378416e-02      
7.81250000e+01      3.08468408e-02      
7.83750000e+01      3.08468408e-02      
